Distance_ft,aerial_vf2f_dep,aerial_vf2f_ponddep,aerial_f2m_dep,aerial_f2m_ponddep,aerial_m2c_dep,aerial_m2c_ponddep,aerial_c2vc_dep,aerial_c2vc_ponddep
452.7504,0.07216,0.06196,0.02019,0.01712,0.00935,0.00792,0.00580,0.00481
459.312,0.07120,0.06141,0.01992,0.01695,0.00922,0.00785,0.00571,0.00475
465.8736,0.07049,0.06087,0.01967,0.01679,0.00910,0.00777,0.00563,0.00470
472.4352,0.06959,0.06034,0.01942,0.01664,0.00898,0.00770,0.00555,0.00465
478.9968,0.06889,0.05982,0.01918,0.01649,0.00887,0.00763,0.00547,0.00460
485.5584,0.06823,0.05931,0.01895,0.01635,0.00877,0.00756,0.00540,0.00456
492.12,0.06754,0.05881,0.01873,0.01621,0.00866,0.00750,0.00533,0.00451
498.6816,0.06675,0.05832,0.01851,0.01607,0.00856,0.00744,0.00527,0.00447
505.2432,0.06608,0.05784,0.01831,0.01594,0.00847,0.00737,0.00520,0.00443
511.8048,0.06551,0.05738,0.01812,0.01581,0.00838,0.00731,0.00514,0.00438
518.3664,0.06483,0.05693,0.01793,0.01569,0.00829,0.00726,0.00508,0.00434
524.928,0.06429,0.05648,0.01775,0.01557,0.00821,0.00720,0.00501,0.00430
531.4896,0.06364,0.05605,0.01756,0.01545,0.00812,0.00714,0.00495,0.00427
538.0512,0.06313,0.05562,0.01739,0.01533,0.00805,0.00709,0.00489,0.00423
544.6128,0.06255,0.05520,0.01721,0.01522,0.00797,0.00704,0.00484,0.00419
551.1744,0.06196,0.05478,0.01705,0.01511,0.00789,0.00698,0.00479,0.00416
557.736,0.06130,0.05438,0.01689,0.01501,0.00782,0.00693,0.00474,0.00412
564.2976,0.06069,0.05399,0.01673,0.01491,0.00775,0.00688,0.00469,0.00409
570.8592,0.06016,0.05361,0.01659,0.01480,0.00769,0.00684,0.00464,0.00406
577.4208,0.05959,0.05324,0.01645,0.01471,0.00762,0.00679,0.00459,0.00403
583.9824,0.05920,0.05288,0.01631,0.01461,0.00755,0.00674,0.00454,0.00400
590.544,0.05874,0.05252,0.01617,0.01452,0.00749,0.00670,0.00450,0.00397
597.1056,0.05844,0.05217,0.01604,0.01443,0.00743,0.00665,0.00445,0.00394
603.6672,0.05803,0.05181,0.01591,0.01434,0.00737,0.00661,0.00441,0.00391
610.2288,0.05757,0.05147,0.01578,0.01425,0.00731,0.00657,0.00437,0.00388
616.7904,0.05703,0.05113,0.01565,0.01417,0.00725,0.00653,0.00433,0.00386
623.352,0.05648,0.05080,0.01553,0.01408,0.00719,0.00649,0.00429,0.00383
629.9136,0.05603,0.05048,0.01542,0.01400,0.00714,0.00645,0.00426,0.00381
636.4752,0.05556,0.05017,0.01531,0.01392,0.00708,0.00641,0.00422,0.00378
643.0368,0.05521,0.04986,0.01520,0.01385,0.00703,0.00637,0.00418,0.00376
649.5984,0.05482,0.04955,0.01510,0.01377,0.00698,0.00633,0.00415,0.00373
656.16,0.05455,0.04925,0.01499,0.01370,0.00693,0.00630,0.00411,0.00371
662.7216,0.05415,0.04896,0.01489,0.01362,0.00688,0.00626,0.00408,0.00369
669.2832,0.05378,0.04867,0.01478,0.01355,0.00683,0.00623,0.00405,0.00367
675.8448,0.05335,0.04838,0.01468,0.01348,0.00678,0.00619,0.00402,0.00364
682.4064,0.05287,0.04811,0.01459,0.01342,0.00674,0.00616,0.00399,0.00362
688.968,0.05249,0.04783,0.01450,0.01335,0.00669,0.00613,0.00396,0.00360
695.5296,0.05207,0.04757,0.01442,0.01329,0.00665,0.00609,0.00393,0.00358
702.0912,0.05171,0.04731,0.01433,0.01322,0.00661,0.00606,0.00391,0.00356
708.6528,0.05137,0.04706,0.01425,0.01316,0.00657,0.00603,0.00388,0.00354
715.2144,0.05113,0.04681,0.01417,0.01310,0.00653,0.00600,0.00385,0.00353
721.776,0.05081,0.04656,0.01409,0.01304,0.00649,0.00597,0.00383,0.00351
728.3376,0.05056,0.04632,0.01401,0.01298,0.00645,0.00594,0.00380,0.00349
734.8992,0.05025,0.04607,0.01393,0.01292,0.00641,0.00591,0.00378,0.00347
741.4608,0.04985,0.04584,0.01385,0.01286,0.00637,0.00588,0.00376,0.00345
748.0224,0.04955,0.04561,0.01377,0.01280,0.00634,0.00585,0.00373,0.00344
754.584,0.04920,0.04538,0.01370,0.01275,0.00630,0.00583,0.00371,0.00342
761.1456,0.04889,0.04516,0.01363,0.01269,0.00626,0.00580,0.00369,0.00340
767.7072,0.04864,0.04494,0.01356,0.01264,0.00623,0.00577,0.00367,0.00339
774.2688,0.04841,0.04473,0.01349,0.01259,0.00619,0.00575,0.00364,0.00337
780.8304,0.04816,0.04452,0.01342,0.01253,0.00616,0.00572,0.00362,0.00336
787.392,0.04795,0.04431,0.01335,0.01248,0.00613,0.00570,0.00360,0.00334
793.9536,0.04769,0.04410,0.01329,0.01243,0.00610,0.00567,0.00358,0.00333
800.5152,0.04739,0.04390,0.01322,0.01238,0.00607,0.00565,0.00357,0.00331
807.0768,0.04713,0.04370,0.01316,0.01234,0.00603,0.00562,0.00355,0.00330
813.6384,0.04685,0.04350,0.01310,0.01229,0.00600,0.00560,0.00353,0.00328
820.2,0.04660,0.04331,0.01304,0.01224,0.00597,0.00557,0.00351,0.00327
826.7616,0.04637,0.04312,0.01298,0.01220,0.00594,0.00555,0.00349,0.00325
833.3232,0.04613,0.04294,0.01293,0.01215,0.00592,0.00553,0.00347,0.00324
839.8848,0.04590,0.04275,0.01287,0.01211,0.00589,0.00551,0.00345,0.00323
846.4464,0.04567,0.04258,0.01281,0.01206,0.00586,0.00548,0.00344,0.00321
853.008,0.04544,0.04240,0.01276,0.01202,0.00583,0.00546,0.00342,0.00320
