Aerial vf2f,Aerial f2m,Aerial m2c,aerial c2vc,Ground low fine 90,ground high fine 90,ground low m2c 90,Ground high m2c 90,Airblast vineyard 50,Airblast Orchard 50
6.6700,1.9100,0.8870,0.5480,0.2070,0.3870,0.1200,0.1670,0.0086,0.0800
6.6000,1.8800,0.8770,0.5400,0.2040,0.3800,0.1190,0.1650,0.0085,0.0788
6.5400,1.8600,0.8670,0.5330,0.2020,0.3740,0.1170,0.1620,0.0083,0.0776
6.4700,1.8400,0.8580,0.5260,0.1990,0.3670,0.1160,0.1600,0.0082,0.0764
6.4100,1.8200,0.8490,0.5190,0.1960,0.3610,0.1150,0.1580,0.0080,0.0753
6.3500,1.8000,0.8400,0.5130,0.1940,0.3550,0.1130,0.1560,0.0079,0.0741
6.2900,1.7900,0.8310,0.5060,0.1910,0.3490,0.1120,0.1540,0.0077,0.0731
6.2300,1.7700,0.8230,0.5000,0.1890,0.3430,0.1110,0.1520,0.0076,0.0720
6.1700,1.7500,0.8150,0.4940,0.1860,0.3370,0.1090,0.1500,0.0075,0.0710
6.1200,1.7300,0.8070,0.4870,0.1840,0.3320,0.1080,0.1480,0.0073,0.0700
6.0600,1.7200,0.8000,0.4820,0.1820,0.3260,0.1070,0.1460,0.0072,0.0691
6.0100,1.7000,0.7930,0.4760,0.1790,0.3210,0.1060,0.1450,0.0071,0.0681
5.9600,1.6800,0.7860,0.4700,0.1770,0.3160,0.1050,0.1430,0.0070,0.0672
5.9000,1.6700,0.7790,0.4640,0.1750,0.3110,0.1040,0.1410,0.0069,0.0663
5.8500,1.6500,0.7720,0.4590,0.1730,0.3060,0.1030,0.1390,0.0067,0.0655
5.8100,1.6400,0.7660,0.4540,0.1710,0.3010,0.1010,0.1380,0.0066,0.0646
5.7600,1.6200,0.7590,0.4480,0.1690,0.2960,0.1000,0.1360,0.0065,0.0638
5.7100,1.6100,0.7530,0.4430,0.1670,0.2920,0.0994,0.1340,0.0064,0.0630
5.6700,1.6000,0.7470,0.4380,0.1650,0.2870,0.0983,0.1330,0.0063,0.0622
5.6200,1.5800,0.7410,0.4340,0.1630,0.2830,0.0973,0.1310,0.0062,0.0614
5.5800,1.5700,0.7350,0.4290,0.1610,0.2790,0.0964,0.1300,0.0061,0.0607
5.5400,1.5600,0.7300,0.4240,0.1590,0.2750,0.0954,0.1280,0.0060,0.0599
5.4900,1.5400,0.7240,0.4200,0.1580,0.2710,0.0945,0.1270,0.0059,0.0592
5.4500,1.5300,0.7190,0.4160,0.1560,0.2670,0.0935,0.1260,0.0059,0.0585
5.4100,1.5200,0.7140,0.4120,0.1540,0.2630,0.0926,0.1240,0.0058,0.0578
5.3700,1.5100,0.7090,0.4080,0.1530,0.2590,0.0917,0.1230,0.0057,0.0572
5.3400,1.5000,0.7040,0.4040,0.1510,0.2550,0.0909,0.1210,0.0056,0.0565
5.3000,1.4900,0.6990,0.4000,0.1490,0.2520,0.0900,0.1200,0.0055,0.0559
5.2600,1.4700,0.6940,0.3960,0.1480,0.2480,0.0892,0.1190,0.0054,0.0552
5.2300,1.4600,0.6890,0.3920,0.1460,0.2450,0.0883,0.1180,0.0054,0.0546
5.1900,1.4500,0.6850,0.3890,0.1450,0.2410,0.0875,0.1160,0.0053,0.0540
5.1600,1.4400,0.6800,0.3860,0.1430,0.2380,0.0867,0.1150,0.0052,0.0534
5.1200,1.4300,0.6760,0.3820,0.1420,0.2350,0.0859,0.1140,0.0051,0.0529
5.0900,1.4300,0.6720,0.3790,0.1400,0.2320,0.0851,0.1130,0.0051,0.0523
5.0600,1.4200,0.6670,0.3760,0.1390,0.2280,0.0844,0.1120,0.0050,0.0517
5.0300,1.4100,0.6630,0.3730,0.1370,0.2250,0.0836,0.1100,0.0049,0.0512
5.0000,1.4000,0.6590,0.3700,0.1360,0.2220,0.0829,0.1090,0.0049,0.0507
4.9700,1.3900,0.6550,0.3670,0.1350,0.2190,0.0822,0.1080,0.0048,0.0501
4.9400,1.3800,0.6520,0.3640,0.1330,0.2170,0.0814,0.1070,0.0047,0.0496
